name,date_st,date_en,date_event_st,date_event_en,maxmin,maxzero,lowhigh
nks,2023/07/04,2024/07/01,2023/09/27,2023/10/24,0.5,0.28,0
nks,2023/07/04,2024/07/01,2023/11/09,2023/11/17,0.6,0.47,0
nks,2023/07/04,2024/07/01,2023/11/18,2023/11/24,0.65,0.55,0
nks,2023/07/04,2024/07/01,2023/11/24,2023/12/04,0.5,0.39,0
nks,2023/07/04,2024/07/01,2023/12/09,2023/12/17,0.7,0.49,0
nks,2023/07/04,2024/07/01,2024/01/19,2024/02/06,0.52,0.26,0
nks,2023/07/04,2024/07/01,2024/02/19,2024/03/01,0.85,0.44,0
nks,2023/07/04,2024/07/01,2024/04/08,2024/04/15,0.73,0.36,0
osso,2023/11/09,2023/12/14,2023/11/11,2023/11/13,0.54,0.18,0
ozer,2023/07/14,2023/10/31,2023/07/30,2023/08/06,1.02,0.8,0
ozer,2023/07/14,2023/10/31,2023/08/18,2023/08/20,0.58,0.32,0
ozer,2023/07/14,2023/10/31,2023/09/21,2023/09/25,0.55,0.46,0
ozer,2023/07/14,2023/10/31,2023/10/11,2023/10/14,0.52,0.5,0
ozer,2023/07/14,2023/10/31,2023/10/20,2023/10/23,1.61,1.51,0
ozer,2023/07/14,2023/10/31,2023/10/22,2023/10/27,0.2,0.11,1
pet,2023/07/04,2024/07/01,2023/09/21,2023/10/05,0.5,0.21,0
pet,2023/07/04,2024/07/01,2023/11/19,2023/12/03,0.59,0.54,0
pet,2023/07/04,2024/07/01,2024/01/16,2024/02/09,0.53,0.17,0
pet,2023/07/04,2024/07/01,2024/03/13,2024/03/19,0.56,0.41,0
pet,2023/07/04,2024/07/01,2024/05/25,2024/06/07,0.68,0.28,0
semy,2023/08/21,2024/07/01,2023/09/25,2023/10/06,0.5,0.3,0
semy,2023/08/21,2024/07/01,2023/09/25,2023/10/06,0.54,0.27,1
semy,2023/08/21,2024/07/01,2023/11/16,2023/11/24,0.71,0.53,0
semy,2023/08/21,2024/07/01,2023/12/11,2023/12/21,0.77,0.59,0
semy,2023/08/21,2024/07/01,2023/12/09,2023/12/13,0.82,0.41,1
semy,2023/08/21,2024/07/01,2023/02/09,2023/03/02,0.61,0.31,0
semy,2023/08/21,2024/07/01,2023/03/14,2023/03/17,1.03,0.57,1
tili,2023/11/07,2023/11/23,2023/11/11,2023/11/14,0.66,0.66,0
vod,2023/07/17,2023/08/18,2023/07/23,2023/07/24,0.23,0.12,1
vod,2023/07/17,2023/08/18,2023/08/03,2023/08/04,0.26,0.14,1
vod,2023/08/22,2023/12/09,2023/10/02,2023/10/04,0.4,0.21,1
vod,2023/08/22,2023/12/09,2023/01/17,2023/01/18,0.63,0.44,1
vod,2023/08/22,2023/12/09,2023/11/29,2023/12/01,0.69,0.39,1
nks,2015/08/14,2015/10/06,2015/09/29,2015/10/03,0.5,0.43,0
nks,2015/11/03,2016/06/26,2015/12/15,2015/12/21,0.52,0.41,0
nks,2015/11/03,2016/06/26,2016/02/09,2016/02/18,0.56,0.35,0
nks,2015/11/03,2016/06/26,2016/04/13,2016/04/19,0.5,0.32,0
nks,2016/06/28,2016/10/06,2016/09/12,2016/09/20,0.55,0.41,0
nks,2016/10/10,2016/11/16,2016/11/06,2016/11/09,0.55,0.28,0
nks,2016/12/07,2016/01/28,2016/12/27,2016/12/31,0.52,0.47,0
nks,2017/03/06,2017/08/23,2017/04/26,2017/05/02,0.52,0.42,0
nks,2020/01/09,2020/10/17,2020/03/01,2020/03/21,0.68,0.43,0
nks,2020/01/09,2020/10/17,2020/10/03,2020/10/15,0.64,0.29,0
nks,2022/01/12,2022/01/26,2022/01/15,2022/01/20,0.2,0.1,1
nks,2024/01/01,2024/06/26,2024/02/19,2024/03/01,1.1,0.64,0
nks,2024/01/01,2024/06/26,2024/04/01,2024/04/12,0.82,0.49,0
pet,2010/07/28,2010/10/18,2010/09/25,2010/09/29,0.69,0.52,0
pet,2010/12/25,2011/04/01,2011/03/11,2011/03/13,0.24,0.12,1
pet,2011/08/12,2011/12/05,2011/09/29,2011/10/04,0.61,0.43,0
pet,2012/01/10,2012/03/17,2012/01/12,2012/01/15,0.81,0.74,0
pet,2012/03/19,2012/04/21,2012/03/31,2012/04/05,0.64,0.42,0
pet,2012/10/04,2013/01/30,2012/12/01,2012/12/05,0.58,0.24,0
pet,2013/08/12,2014/08/09,2013/09/16,2013/09/20,0.61,0.43,0
pet,2013/08/12,2014/08/09,2013/10/13,2013/10/21,0.63,0.45,0
pet,2013/08/12,2014/08/09,2013/11/15,2013/11/24,0.63,0.23,0
pet,2013/08/12,2014/08/09,2013/12/21,2014/01/02,0.65,0.65,0
pet,2013/08/12,2014/08/09,2013/12/28,2014/01/30,0.18,0.09,1
pet,2013/08/12,2014/08/09,2014/01/30,2014/02/06,0.66,0.46,0
pet,2013/08/11,2015/04/06,2014/09/18,2014/09/23,0.59,0.49,0
pet,2013/08/11,2015/04/06,2014/09/19,2014/09/21,0.12,0.06,1
